Name,Sb,Sn,Cd,Pd,Ag,Bal,Mo,Nb,Zr,Sr,Rb,Bi,As,Se,Au,Pb,W,Zn,Cu,Ni,Co,Fe,Mn,Cr,V,Ti,Ca,K,Al,P,Si,Cl,S,Mg
114-e,0,0,0,0,0,52.06734588,0,0.00081,0.007845032,0.005147233,0.003438985,0,0.001888253,0,0,0.007280324,0.014778429,0,0,0,0,2.267151418,0.044991308,0.005540613,0.01383935,0.17480882,2.853164737,1.708459633,4.590570937,0.150747101,35.62326091,0.033275272,0,0.42565576
rs-250-500,0,0,0,0,0,52.08514208,0.000521268,0.001421575,0.013757785,0.007152483,0.007306723,0,0.002363019,0,0,0,0,0.006884919,0.001973911,0,0,4.182280497,0.038801679,0.013780982,0.028608348,0.347971307,1.728086721,3.169578013,8.661283961,0.159062383,28.81177724,0.030223561,0,0.70202155
CH-061_30-40cm,0,0,0,0,0,55.064721,0.000414468,0.001350124,0.019759732,0.003159366,0.004659425,0,0.001059431,0,0,0,0,0.002046596,0,0,0,3.214365564,0.006788809,0.012732807,0.01506608,0.282227057,0,1.655692139,7.393619745,0.150398098,32.14034681,0.031592747,0,0
114-c,0,0,0,0,0,55.95311749,0,0.000581452,0.011081918,0.002876312,0.002237297,0,0.000495722,0,0,0,0,0,0,0,0,1.623110923,0.028756082,0,0.010371456,0.193339173,1.029066695,1.515096548,4.842468326,0.123788118,34.2471951,0.02547415,0,0.390943241
117-e,0,0,0,0,0,56.02822302,0,0.000393144,0.006578838,0.002988041,0.002185868,0,0.000797485,0,0,0,0,0,0,0,0,1.793392643,0.038297672,0.003400012,0.012794622,0.162270502,2.785179448,1.577466051,4.163450732,0.098586587,32.88983564,0.024794498,0,0.409365199
117-d,0,0,0,0,0,55.69420585,0,0.000813397,0.009706382,0.0042915,0.003751827,0,0.001694511,0,0,0,0,0,0,0,0,2.628864974,0.05771171,0.007251617,0.015106815,0.216174638,2.171329674,2.056401206,5.747167269,0.100365344,30.74456229,0.030218304,0,0.5103827
117-c,0,0,0,0,0,53.22795215,0,0.000471993,0.006504409,0.002730624,0.001963559,0,0.000759141,0,0,0,0,0,0,0,0,1.331728389,0.026179958,0,0.009094488,0.131210915,0.765549815,1.183276833,3.515757219,0.232475065,39.54480108,0.01954436,0,0
117-b,0,0,0,0,0,50.32011502,0,0.001457802,0.058811149,0.003650871,0.002479465,0,0.001079314,0,0,0,0,0,0.002902746,0,0,1.955460747,0.027866955,0.005472192,0.01271689,0.259231706,0.810864997,1.275302293,4.161017806,0.894658363,39.81160265,0.02199259,0.063757177,0.309559262
117-a,0,0,0,0,0,19.85270696,0.001128524,0.003624475,0.060417516,0.0078395,0.006108144,0,0.005839435,0,0,0,0.020208013,0.012195171,0.013532031,0,0,7.021010338,0.161485041,0.020817554,0.04111694,0.885367185,2.799442776,3.679665246,11.52247417,1.897965391,51.67509939,0.074994381,0.236961813,0
CH-160,0,0,0,0,0,51.59402696,0,0.001298346,0.018762404,0.012069303,0.004435099,0,0.00251964,0,0,0,0,0.005206125,0,0,0,3.714180045,0.092160773,0.011138985,0.021062305,0.268607349,3.993523491,1.756953102,6.196085391,0.114594665,31.86105827,0.024292353,0,0.30802539
